/* DATA DESCRIPTION:
Citation:	Dallmayr, Remi; Freitag, Johannes; Hörhold, Maria; Laepple, Thomas; Wilhelms, Frank (2021): GPR profiles between B31, B32, and B33, terrestrial traverses 1999/2000 ; 2000/2001, Droning-Maud Land [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.935129
Abstract:	Surface Mass Balance between location B31 and B33 (SMB, in kg/m2/yr) corresponding to interval between radar horizons (1-2), between Tambora (1817) and year of measurement (2000/2001). The conversion of IRH traveltime to depth was discribed in Rotschky et al. 2004, and Eisen et al. 2004.
Keyword(s):	accumulation rate in Dronning Maud Land; GPR; terrestrial traverse
Related to:	Dallmayr, Remi; Freitag, Johannes; Laepple, Thomas; Wilhelms, Frank; Jansen, Daniela; Behrens, Melanie K; Hörhold, Maria (2021): Topographic effect creates non-climatic variations in ice-core based temperature records of the last millennium. https://doi.org/10.1002/essoar.10508113.1
	Eisen, Olaf; Rack, Wolfgang; Nixdorf, Uwe; Wilhelms, Frank (2005): Characteristics of accumulation around the EPICA deep-drilling site in Dronning Maud Land, Antarctica. Annals of Glaciology, 41, 41-46, https://doi.org/10.3189/172756405781813276
	Rotschky, Gerit; Eisen, Olaf; Wilhelms, Frank; Nixdorf, Uwe; Oerter, Hans (2004): Spatial distribution of surface mass balance on Amundsenisen plateau, Antarctica, derived from ice-penetrating radar studies. Annals of Glaciology, 39, 265-270, https://doi.org/10.3189/172756404781814618
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	MEDIAN LATITUDE: -75.191115 * MEDIAN LONGITUDE: 1.472444 * SOUTH-BOUND LATITUDE: -75.581500 * WEST-BOUND LONGITUDE: -3.430333 * NORTH-BOUND LATITUDE: -74.968500 * EAST-BOUND LONGITUDE: 6.499999
	DATE/TIME START: 1999-12-01T00:00:00 * DATE/TIME END: 2001-01-31T00:00:00
Event(s):	ANT-Land_1999 (Transect 1999/2000 (B32 to B33)) * LATITUDE START: -75.002500 * LONGITUDE START: 0.007333 * LATITUDE END: -75.166667 * LONGITUDE END: 6.500000 * DATE/TIME START: 1999-12-01T00:00:00 * DATE/TIME END: 2000-01-31T00:00:00 * LOCATION: Antarctica * CAMPAIGN: EPICA_DML5 * BASIS: Kohnen Station (URI: https://doi.org/10.17815/jlsrf-2-152) * METHOD/DEVICE: Multiple investigations (MULT)
	ANT-Land_2000 (Transect 2000/2001 (B31 to B32)) * LATITUDE START: -75.002326 * LONGITUDE START: 0.007496 * LATITUDE END: -75.581732 * LONGITUDE END: -3.431095 * DATE/TIME START: 2000-12-01T00:00:00 * DATE/TIME END: 2001-01-31T00:00:00 * LOCATION: Antarctica * CAMPAIGN: EPICA_DML6 * BASIS: Kohnen Station (URI: https://doi.org/10.17815/jlsrf-2-152) * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	Event label (Event) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	Distance [km] (Distance) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	LONGITUDE (Longitude) * GEOCODE * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	LATITUDE (Latitude) * GEOCODE * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	Surface mass balance [kg/m**2/a] (SMB) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de) * COMMENT: corresponding to interval between radar horizons (1-2)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31822 data points
*/
Event	Distance [km]	Longitude	Latitude	SMB [kg/m**2/a]
ANT-Land_2000	0.000	-3.4303331	-75.5815000	58.72
ANT-Land_2000	0.012	-3.4299850	-75.5814406	58.80
ANT-Land_2000	0.023	-3.4296368	-75.5813812	58.87
ANT-Land_2000	0.035	-3.4292887	-75.5813218	58.95
ANT-Land_2000	0.047	-3.4289406	-75.5812623	59.03
ANT-Land_2000	0.059	-3.4285924	-75.5812029	59.10
ANT-Land_2000	0.070	-3.4282443	-75.5811435	59.18
ANT-Land_2000	0.082	-3.4278962	-75.5810841	59.25
ANT-Land_2000	0.094	-3.4275480	-75.5810246	59.33
ANT-Land_2000	0.105	-3.4271999	-75.5809652	59.41
ANT-Land_2000	0.117	-3.4268518	-75.5809058	59.48
ANT-Land_2000	0.129	-3.4265036	-75.5808464	59.56
ANT-Land_2000	0.141	-3.4261555	-75.5807869	59.64
ANT-Land_2000	0.152	-3.4258074	-75.5807275	59.71
ANT-Land_2000	0.164	-3.4254592	-75.5806681	59.79
ANT-Land_2000	0.176	-3.4251111	-75.5806087	59.86
ANT-Land_2000	0.187	-3.4247630	-75.5805493	59.94
ANT-Land_2000	0.199	-3.4244148	-75.5804898	60.02
ANT-Land_2000	0.211	-3.4240667	-75.5804304	60.09
ANT-Land_2000	0.223	-3.4237185	-75.5803710	60.17
ANT-Land_2000	0.234	-3.4233704	-75.5803116	60.24
ANT-Land_2000	0.246	-3.4230223	-75.5802521	60.31
ANT-Land_2000	0.258	-3.4226741	-75.5801927	60.39
ANT-Land_2000	0.269	-3.4223260	-75.5801333	60.46
ANT-Land_2000	0.281	-3.4219779	-75.5800739	60.54
ANT-Land_2000	0.293	-3.4216297	-75.5800144	60.61
ANT-Land_2000	0.305	-3.4212816	-75.5799550	60.69
ANT-Land_2000	0.316	-3.4209335	-75.5798956	60.76
ANT-Land_2000	0.328	-3.4205853	-75.5798362	60.84
ANT-Land_2000	0.340	-3.4202372	-75.5797767	60.91
ANT-Land_2000	0.351	-3.4198891	-75.5797173	60.98
ANT-Land_2000	0.363	-3.4195409	-75.5796579	61.06
ANT-Land_2000	0.375	-3.4191928	-75.5795985	61.14
ANT-Land_2000	0.387	-3.4188447	-75.5795391	61.22
ANT-Land_2000	0.398	-3.4184965	-75.5794796	61.30
ANT-Land_2000	0.410	-3.4181484	-75.5794202	61.36
ANT-Land_2000	0.422	-3.4178002	-75.5793608	61.43
ANT-Land_2000	0.433	-3.4174521	-75.5793014	61.50
ANT-Land_2000	0.445	-3.4171040	-75.5792419	61.56
ANT-Land_2000	0.457	-3.4167558	-75.5791825	61.63
ANT-Land_2000	0.469	-3.4164077	-75.5791231	61.69
ANT-Land_2000	0.480	-3.4160596	-75.5790637	61.76
ANT-Land_2000	0.492	-3.4157114	-75.5790042	61.83
ANT-Land_2000	0.504	-3.4153633	-75.5789448	61.89
ANT-Land_2000	0.515	-3.4150152	-75.5788854	61.96
ANT-Land_2000	0.527	-3.4146670	-75.5788260	62.02
ANT-Land_2000	0.539	-3.4143189	-75.5787666	62.09
ANT-Land_2000	0.551	-3.4139708	-75.5787071	62.15
ANT-Land_2000	0.562	-3.4136226	-75.5786477	62.22
ANT-Land_2000	0.574	-3.4132745	-75.5785883	62.28
ANT-Land_2000	0.586	-3.4129264	-75.5785289	62.35
ANT-Land_2000	0.597	-3.4125782	-75.5784694	62.42
ANT-Land_2000	0.609	-3.4122301	-75.5784100	62.48
ANT-Land_2000	0.621	-3.4118819	-75.5783506	62.55
ANT-Land_2000	0.633	-3.4115338	-75.5782912	62.61
ANT-Land_2000	0.644	-3.4111857	-75.5782318	62.68
ANT-Land_2000	0.656	-3.4108375	-75.5781723	62.75
ANT-Land_2000	0.668	-3.4104894	-75.5781129	62.82
ANT-Land_2000	0.679	-3.4101413	-75.5780535	62.88
ANT-Land_2000	0.691	-3.4097931	-75.5779941	62.95
ANT-Land_2000	0.703	-3.4094450	-75.5779346	63.01
ANT-Land_2000	0.715	-3.4090969	-75.5778752	63.08
ANT-Land_2000	0.726	-3.4087487	-75.5778158	63.15
ANT-Land_2000	0.738	-3.4084006	-75.5777564	63.21
ANT-Land_2000	0.750	-3.4080525	-75.5776969	63.28
ANT-Land_2000	0.761	-3.4077043	-75.5776375	63.35
