NAME,xcoord,ycoord
C1,-3.60318,-75.55592
C2,-3.52763,-75.54381
C3,-3.45220,-75.53168
C4,-3.37691,-75.51953
C5,-3.30174,-75.50735
C6,-3.22670,-75.49515
C7,-3.15179,-75.48292
C8,-3.07701,-75.47067
C9,-3.00235,-75.45840
C10,-2.92782,-75.44610
C11,-2.85342,-75.43378
C12,-2.77914,-75.42143
C13,-2.70499,-75.40906
C14,-2.63097,-75.39666
C15,-2.55708,-75.38424
C16,-2.48331,-75.37180
C17,-2.40967,-75.35934
C18,-2.33616,-75.34685
C19,-2.26277,-75.33433
C20,-2.18951,-75.32180
C21,-2.11638,-75.30924
C22,-2.04337,-75.29666
C23,-1.97049,-75.28405
C24,-1.89773,-75.27142
C25,-1.82511,-75.25877
C26,-1.75260,-75.24609
C27,-1.68023,-75.23339
C28,-1.60797,-75.22067
C29,-1.53585,-75.20793
C30,-1.46385,-75.19516
C31,-1.39198,-75.18237
C32,-1.32023,-75.16956
C33,-1.24860,-75.15672
C34,-1.17710,-75.14387
C35,-1.10573,-75.13099
C36,-1.03448,-75.11808
C37,-0.96336,-75.10516
C38,-0.89236,-75.09221
C39,-0.82149,-75.07924
C40,-0.75074,-75.06625
C41,-0.68011,-75.05324
C42,-0.60961,-75.04020
C43,-0.53924,-75.02714
C44,-0.46898,-75.01406
C45,-0.39886,-75.00096
C46,-0.32885,-74.98784
C47,-0.25897,-74.97470
C48,-0.18921,-74.96153
C49,-0.11958,-74.94834
C50,-0.05007,-74.93513
C51,0.01932,-74.92190
D1,-3.50600,-75.59364
D2,-3.43033,-75.58150
D3,-3.35479,-75.56934
D4,-3.27938,-75.55715
D5,-3.20410,-75.54494
D6,-3.12895,-75.53270
D7,-3.05392,-75.52045
D8,-2.97903,-75.50816
D9,-2.90426,-75.49585
D10,-2.82962,-75.48352
D11,-2.75511,-75.47116
D12,-2.68073,-75.45878
D13,-2.60647,-75.44638
D14,-2.53234,-75.43395
D15,-2.45834,-75.42150
D16,-2.38447,-75.40903
D17,-2.31073,-75.39653
D18,-2.23711,-75.38401
D19,-2.16362,-75.37146
D20,-2.09026,-75.35889
D21,-2.01702,-75.34630
D22,-1.94392,-75.33368
D23,-1.87094,-75.32104
D24,-1.79808,-75.30838
D25,-1.72536,-75.29569
D26,-1.65276,-75.28299
D27,-1.58028,-75.27025
D28,-1.50794,-75.25750
D29,-1.43572,-75.24472
D30,-1.36362,-75.23192
D31,-1.29166,-75.21910
D32,-1.21982,-75.20625
D33,-1.14810,-75.19339
D34,-1.07651,-75.18049
D35,-1.00505,-75.16758
D36,-0.93371,-75.15465
D37,-0.86250,-75.14169
D38,-0.79141,-75.12871
D39,-0.72045,-75.11570
D40,-0.64962,-75.10268
D41,-0.57891,-75.08963
D42,-0.50832,-75.07656
D43,-0.43786,-75.06347
D44,-0.36753,-75.05036
D45,-0.29732,-75.03723
D46,-0.22723,-75.02407
D47,-0.15727,-75.01089
D48,-0.08744,-74.99769
D49,-0.01772,-74.98447
D50,0.05186,-74.97123
D51,0.12133,-74.95796
E1,-3.40831,-75.63132
E2,-3.33252,-75.61915
E3,-3.25687,-75.60695
E4,-3.18134,-75.59473
E5,-3.10595,-75.58249
E6,-3.03068,-75.57022
E7,-2.95555,-75.55793
E8,-2.88054,-75.54561
E9,-2.80566,-75.53327
E10,-2.73091,-75.52090
E11,-2.65629,-75.50852
E12,-2.58180,-75.49610
E13,-2.50743,-75.48366
E14,-2.43320,-75.47120
E15,-2.35909,-75.45872
E16,-2.28512,-75.44621
E17,-2.21127,-75.43368
E18,-2.13755,-75.42112
E19,-2.06396,-75.40854
E20,-1.99049,-75.39594
E21,-1.91716,-75.38331
E22,-1.84395,-75.37067
E23,-1.77087,-75.35799
E24,-1.69792,-75.34530
E25,-1.62510,-75.33258
E26,-1.55240,-75.31984
E27,-1.47983,-75.30707
E28,-1.40739,-75.29428
E29,-1.33508,-75.28147
E30,-1.26289,-75.26864
E31,-1.19083,-75.25578
E32,-1.11890,-75.24290
E33,-1.04709,-75.23000
E34,-0.97542,-75.21708
E35,-0.90386,-75.20413
E36,-0.83244,-75.19116
E37,-0.76114,-75.17817
E38,-0.68997,-75.16516
E39,-0.61892,-75.15212
E40,-0.54800,-75.13906
E41,-0.47720,-75.12598
E42,-0.40654,-75.11288
E43,-0.33599,-75.09976
E44,-0.26558,-75.08661
E45,-0.19528,-75.07344
E46,-0.12512,-75.06025
E47,-0.05508,-75.04704
E48,0.01484,-75.03381
E49,0.08463,-75.02056
E50,0.15430,-75.00728
E51,0.22384,-74.99398
CD3,-3.40356,-75.55052
CD4,-3.32821,-75.53835
CD5,-3.25299,-75.52615
CD6,-3.17789,-75.51393
CD7,-3.10292,-75.50169
DE3,-3.30590,-75.58815
DE4,-3.23043,-75.57595
DE5,-3.15509,-75.56372
DE6,-3.07988,-75.55147
DE7,-3.00480,-75.53919
