"lat","lon","name"
-75.1,123.39,EDC Dome C
-78.47,106.83,Vostok composite VRS13
-75.58,356.57,B31Site DML07
-75,359.99,B32Site DML05
-75.17,6.5,B33Site DML17
-72.68,3.67,Eastern DML E98 (DML Ice divide traverse E)
-74.65,12.8,Eastern DML L89 (DML Ice divide traverse L)
-74.86,357.45,DML Plateau Amundsenisen FB96DML01
-74.97,356.08,DML Plateau Amundsenisen FB96DML02
-74.49,1.97,DML Plateau Amundsenisen FB97DML03
-74.41,7.22,DML Plateau Amundsenisen FB97DML04
-75,0.01,DML Plateau Amundsenisen FB97DML05
-75,8.01,DML Plateau Amundsenisen FB97DML06
-74.59,356.56,DML Plateau Amundsenisen FB97DML07
-75.75,3.29,DML Plateau Amundsenisen FB97DML08
-75.93,7.22,DML Plateau Amundsenisen FB97DML09
-75.22,11.35,DML Plateau Amundsenisen FB97DML10
-74.85,351.5,DML Plateau (DML11) FB9803
-75.25,354,DML Plateau (DML18) FB9804
-75.17,359,DML Plateau (DML19) FB9805
-75,0.04,DML Plateau (DML05) FB9807
-74.75,1,DML Plateau (DML20) FB9808
-74.5,1.96,DML Plateau (DML03) FB9809
-74.67,4,DML Plateau (DML21) FB9810
-75.08,6.5,DML Plateau (DML22) FB9811
-75.25,6.5,DML Plateau (DML23) FB9812
-75.17,5,DML Plateau (DML16) FB9813
-75.08,2.5,DML Plateau (DML15) FB9814
-74.96,358.5,DML Plateau (DML14) FB9815
-75,355.49,DML Plateau (DML13) FB9816
-75,353.5,DML Plateau (DML12) FB9817
-74.97,3.92,DML Plateau (DML02) SS9813
-77.32,39.7,Dome F 1993
-77.32,39.7,Dome F 2001
-86.5,252.01,US-ITASE-2002-4
-84,43,Plateau Remote
-72.82,159.18,TALDICE -Talos Dome
-72.8,159.06,TD96 Talos Dome
-89.93,144.39,SPRESSO (South Pole)
-74.12,1.6,NUS 08-7
-73.72,7.94,NUS 07-1
-69.95,95.62,400th km
-77.11,95.07,NVFL-1
-76.41,102.17,NVFL-3
-72.81,79.93,PV-10
