Age [ka BP]	Depth ice/snow [m]	Age [year AD]	Depth top [m]	Depth bot [m]	Density [kg/m**3]	Acc rate ice [kg/m**2/a]	d2H [per mil SMOW]	d18O H2O [per mil SMOW]	d xs [per mil SMOW]
-0.047	0.125	1997	0.00	0.25					
-0.046	0.365	1996	0.25	0.48					
-0.045	0.610	1995	0.48	0.74					
-0.044	0.890	1994	0.74	1.04	340	101.901	-341.8	-43.32	4.8
-0.043	1.130	1993	1.04	1.22	334	60.185	-328.6	-42.15	8.6
-0.042	1.275	1992	1.22	1.33	341	37.548	-335.9	-43.04	8.4
-0.041	1.490	1991	1.33	1.65	368	117.669	-356.8	-45.51	7.3
-0.040	1.710	1990	1.65	1.77	407	48.865	-346.2	-44.34	8.5
-0.039	1.855	1989	1.77	1.94	405	68.848	-334.1	-42.80	8.3
-0.038	2.025	1988	1.94	2.11	392	66.728	-340.6	-43.51	7.5
-0.037	2.175	1987	2.11	2.24	379	49.215	-328.2	-41.98	7.7
-0.036	2.290	1986	2.24	2.34	369	36.932	-344.7	-44.09	8.0
-0.035	2.405	1985	2.34	2.47	364	47.328	-362.9	-46.42	8.5
-0.034	2.535	1984	2.47	2.60	366	47.599	-371.4	-47.57	9.1
-0.033	2.665	1983	2.60	2.73	374	48.557	-372.0	-47.85	10.2
-0.032	2.790	1982	2.73	2.85	379	45.508	-353.1		
-0.031	2.905	1981	2.85	2.96	376	41.403	-334.3	-42.72	8.6
-0.030	3.060	1980	2.96	3.16	373	74.596	-335.9	-42.88	7.1
-0.029	3.265	1979	3.16	3.37	370	77.751	-359.1	-45.72	6.7
-0.028	3.460	1978	3.37	3.55	381	68.626	-359.9	-45.91	7.4
-0.027	3.665	1977	3.55	3.78	396	91.034	-332.2	-42.57	8.4
-0.026	3.870	1976	3.78	3.96	402	72.305	-349.3	-44.41	6.0
-0.025	4.035	1975	3.96	4.11	390	58.532	-356.5	-45.34	6.2
-0.024	4.185	1974	4.11	4.26	381	57.125	-353.7	-45.29	8.6
-0.023	4.315	1973	4.26	4.37	379	41.694	-354.8	-45.39	8.3
-0.022	4.440	1972	4.37	4.51	381	53.302	-367.8	-46.73	6.0
-0.021	4.590	1971	4.51	4.67	383	61.297	-344.4	-43.70	5.2
-0.020	4.725	1970	4.67	4.78	385	42.342	-330.1	-41.69	3.5
-0.019	4.845	1969	4.78	4.91	387	50.284	-341.9	-43.65	7.3
-0.018	4.960	1968	4.91	5.01	388	38.842	-343.1	-43.97	8.6
-0.017	5.065	1967	5.01	5.12	390	42.893	-340.2	-43.42	7.1
-0.016	5.190	1966	5.12	5.26	392	54.835	-355.2	-44.98	4.6
-0.015	5.335	1965	5.26	5.41	394	59.086	-358.4	-45.78	7.8
-0.014	5.455	1964	5.41	5.50	396	35.614	-372.7	-47.64	8.5
-0.013	5.600	1963	5.50	5.70	401	80.210	-349.1	-44.66	8.2
-0.012	5.760	1962	5.70	5.82	408	49.019	-341.0	-43.54	7.3
