Age [ka BP]	Depth ice/snow [m]	Age [year AD]	Depth top [m]	Depth bot [m]	d18O H2O [per mil SMOW]	Acc rate ice [kg/m**2/a]
-0.047	0.090000	1997	0.00000	0.18000	-44.04	64.76
-0.046	0.295000	1996	0.18000	0.41000	-44.04	82.75
-0.045	0.585000	1995	0.41000	0.76000	-44.04	125.93
-0.044	0.965000	1994	0.76000	1.17000	-44.30	145.85
-0.043	1.225000	1993	1.17000	1.28000	-47.35	38.53
-0.042	1.350000	1992	1.28000	1.42000	-46.01	49.60
-0.041	1.555000	1991	1.42000	1.69000	-42.73	97.42
-0.040	1.855000	1990	1.69000	2.02000	-40.84	121.56
-0.039	2.215000	1989	2.02000	2.41000	-43.92	142.09
-0.038	2.525000	1988	2.41000	2.64000	-45.08	85.39
-0.037	2.690000	1987	2.64000	2.74000	-45.05	37.56
-0.036	2.820000	1986	2.74000	2.90000	-46.01	60.69
-0.035	3.022500	1985	2.90000	3.14500	-44.01	93.65
-0.034	3.239000	1984	3.14500	3.33300	-45.24	72.64
-0.033	3.389000	1983	3.33300	3.44500	-44.18	44.27
-0.032	3.641000	1982	3.44500	3.83700	-44.47	162.37
-0.031	3.956000	1981	3.83700	4.07500	-43.09	101.09
-0.030	4.170000	1980	4.07500	4.26500	-40.95	80.96
-0.029	4.335000	1979	4.26500	4.40500	-46.45	59.80
-0.028	4.552500	1978	4.40500	4.70000	-47.47	126.41
-0.027	4.779000	1977	4.70000	4.85800	-44.31	67.93
-0.026	4.952000	1976	4.85800	5.04600	-42.88	81.04
-0.025	5.103000	1975	5.04600	5.16000	-43.86	49.25
-0.024	5.200000	1974	5.16000	5.24000	-45.23	34.61
-0.023	5.332000	1973	5.24000	5.42400	-44.21	79.75
-0.022	5.482000	1972	5.42400	5.54000	-43.02	50.39
-0.021	5.598000	1971	5.54000	5.65600	-45.70	50.47
-0.020	5.798000	1970	5.65600	5.94000	-46.34	123.70
-0.019	6.000000	1969	5.94000	6.06000	-46.62	51.93
-0.018	6.140000	1968	6.06000	6.22000	-44.47	68.81
-0.017	6.270000	1967	6.22000	6.32000	-43.51	42.77
-0.016	6.410000	1966	6.32000	6.50000	-45.62	77.43
-0.015	6.592000	1965	6.50000	6.68400	-44.59	81.57
-0.014	6.729000	1964	6.68400	6.77400	-43.58	40.72
-0.013	6.877000	1963	6.77400	6.98000	-44.78	93.38
-0.012	7.078000	1962	6.98000	7.17600	-43.44	87.99
-0.011	7.248000	1961	7.17600	7.32000	-44.25	64.28
-0.010	7.388000	1960	7.32000	7.45600	-44.57	61.24
-0.009	7.517000	1959	7.45600	7.57800	-46.06	55.47
-0.008	7.659000	1958	7.57800	7.74000	-45.29	74.45
-0.007	7.825000	1957	7.74000	7.91000	-47.79	78.83
-0.006	7.970000	1956	7.91000	8.03000	-45.04	55.36
-0.005	8.117500	1955	8.03000	8.20500	-45.41	80.19
-0.004	8.235000	1954	8.20500	8.26500	-47.67	27.34
-0.003	8.345000	1953	8.26500	8.42500	-47.07	73.03
-0.002	8.485000	1952	8.42500	8.54500	-45.41	54.97
-0.001	8.583500	1951	8.54500	8.62200	-45.19	35.37
0.000	8.694000	1950	8.62200	8.76600	-44.97	66.32
0.001	8.813000	1949	8.76600	8.86000	-46.81	43.47
0.002	8.904000	1948	8.86000	8.94800	-45.90	40.88
0.003	9.006000	1947	8.94800	9.06400	-46.57	54.12
0.004	9.107000	1946	9.06400	9.15000	-46.68	40.29
0.005	9.192000	1945	9.15000	9.23400	-46.15	39.52
0.006	9.292000	1944	9.23400	9.35000	-47.22	54.78
0.007	9.396000	1943	9.35000	9.44200	-47.73	43.53
0.008	9.507000	1942	9.44200	9.57200	-46.04	61.57
0.009	9.616000	1941	9.57200	9.66000	-44.31	41.72
0.010	9.695000	1940	9.66000	9.73000	-45.40	33.21
0.011	9.782000	1939	9.73000	9.83400	-44.95	49.35
0.012	9.905000	1938	9.83400	9.97600	-45.41	67.26
0.013	10.081000	1937	9.97600	10.18600	-43.00	99.18
0.014	10.243000	1936	10.18600	10.30000	-43.28	53.82
0.015	10.355000	1935	10.30000	10.41000	-43.92	52.32
0.016	10.475000	1934	10.41000	10.54000	-43.81	62.46
0.017	10.571000	1933	10.54000	10.60200	-45.11	30.04
0.018	10.669000	1932	10.60200	10.73600	-45.38	65.33
0.019	10.784000	1931	10.73600	10.83200	-47.36	47.10
0.020	10.891000	1930	10.83200	10.95000	-47.65	57.78
0.021	11.026000	1929	10.95000	11.10200	-46.52	74.17
0.022	11.157000	1928	11.10200	11.21200	-48.16	53.47
0.023	11.269000	1927	11.21200	11.32600	-49.15	55.33
0.024	11.383000	1926	11.32600	11.44000	-46.43	55.53
