Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,,
-3.4036,-75.55052,CD3_M_0_1,79.4,CD,3,0-90,0,0.3,1,CD3_M_0_1,-43.93,0.01,-344.3,0.05,,
-3.4036,-75.55052,CD3_M_3_1,74.8,CD,3,0-90,0.3,0.6,1,CD3_M_3_1,-44.92,0.01,-353.1,0.01,,
-3.4036,-75.55052,CD3_M_6_1,92.6,CD,3,0-90,0.6,0.9,1,CD3_M_6_1,-45.49,0.01,-356.5,0.03,,
-3.4036,-75.55052,CD3_M_10_1,77.6,CD,3,0-90,0.9,1.2,1,CD3_M_10_1,-45.06,0.01,-353.0,0.04,,
-3.4036,-75.55052,CD3_M_0_2,95.3,CD,3,0-90,0,0.3,2,CD3_M_0_2,-43.56,0.05,-343.3,0.54,,
-3.4036,-75.55052,CD3_M_3_2,85.3,CD,3,0-90,0.3,0.6,2,CD3_M_3_2,-44.63,0.08,-353.2,0.32,,
-3.4036,-75.55052,CD3_M_6_2,60.3,CD,3,0-90,0.6,0.9,2,CD3_M_6_2,-45.21,0.07,-355.8,0.75,,
-3.4036,-75.55052,CD3_M_10_2,118,CD,3,0-90,0.9,1.2,2,CD3_M_10_2N,-45.26,0.09,-353.3,0.47,,
-3.3059,-75.58815,DE3_M_0_1,69,DE,3,0-90,0,0.3,1,DE3_M_0_1,-43.12,0.01,-338.5,0.06,,
-3.3059,-75.58815,DE3_M_3_1,89.7,DE,3,0-90,0.3,0.6,1,DE3_M_3_1,-44.81,0.01,-351.9,0.02,,
-3.3059,-75.58815,DE3_M_6_1,71.9,DE,3,0-90,0.6,0.9,1,DE3_M_6_1,-46.03,0.00,-360.5,0.02,,
-3.3059,-75.58815,DE3_M_10_1,76.9,DE,3,0-90,0.9,1.2,1,DE3_M_10_1,-44.12,0.01,-345.7,0.03,,
-3.3059,-75.58815,DE3_M_0_2,63.9,DE,3,0-90,0,0.3,2,DE3_M_0_2,-43.03,0.01,-338.6,0.43,,
-3.3059,-75.58815,DE3_M_3_2,44.4,DE,3,0-90,0.3,0.6,2,DE3_M_3_2,-44.67,0.06,-351.5,0.75,,
-3.3059,-75.58815,DE3_M_6_2,70.3,DE,3,0-90,0.6,0.9,2,DE3_M_6_2,-45.99,0.07,-360.6,0.63,,
-3.3059,-75.58815,DE3_M_10_2,97.2,DE,3,0-90,0.9,1.2,2,DE3_M_10_2N,-43.85,0.09,-345.4,0.53,,
-3.3282,-75.53835,CD4_M_0_1,79.8,CD,4,0-90,0,0.3,1,CD4_M_0_1,-42.07,0.01,-330.7,0.02,,
-3.3282,-75.53835,CD4_M_3_1,100.6,CD,4,0-90,0.3,0.6,1,CD4_M_3_1,-43.88,0.00,-346.0,0.07,,
-3.3282,-75.53835,CD4_M_6_1,90.1,CD,4,0-90,0.6,0.9,1,CD4_M_6_1,-44.09,0.01,-346.3,0.02,,
-3.3282,-75.53835,CD4_M_10_1,83,CD,4,0-90,0.9,1.2,1,CD4_M_10_1,-42.36,0.00,-332.9,0.03,,
-3.3282,-75.53835,CD4_M_0_2,105.2,CD,4,0-90,0,0.3,2,CD4_M_0_2NN,-42.04,0.08,-330.9,0.28,,
-3.3282,-75.53835,CD4_M_3_2,88.4,CD,4,0-90,0.3,0.6,2,CD4_M_3_2N,-44.03,0.09,-347.3,0.40,,
-3.3282,-75.53835,CD4_M_6_2,91.2,CD,4,0-90,0.6,0.9,2,CD4_M_6_2,-43.69,0.03,-344.4,0.07,,
-3.3282,-75.53835,CD4_M_10_2,106.4,CD,4,0-90,0.9,1.2,2,CD4_M_10_2,-42.07,0.08,-331.5,0.74,,
-3.2304,-75.57595,DE4_M_0_1,83.8,DE,4,0-90,0,0.3,1,DE4_M_0_1,-43.28,0.03,-339.4,0.16,,
-3.2304,-75.57595,DE4_M_3_1,75.8,DE,4,0-90,0.3,0.6,1,DE4_M_3_1,-43.74,0.01,-343.3,0.05,,
-3.2304,-75.57595,DE4_M_6_1,76.6,DE,4,0-90,0.6,0.9,1,DE4_M_6_1,-45.34,0.00,-356.1,0.01,,
-3.2304,-75.57595,DE4_M_10_1,55,DE,4,0-90,0.9,1.2,1,DE4_M_10_1,-44.53,0.01,-349.3,0.03,,
-3.2304,-75.57595,DE4_M_0_2,79.4,DE,4,0-90,0,0.3,2,DE4_M_0_2,-43.11,0.08,-338.8,0.55,,
-3.2304,-75.57595,DE4_M_3_2,78.4,DE,4,0-90,0.3,0.6,2,DE4_M_3_2N,-43.33,0.07,-342.0,0.43,,
-3.2304,-75.57595,DE4_M_6_2,84,DE,4,0-90,0.6,0.9,2,DE4_M_6_2,-45.04,0.04,-356.4,0.21,,
-3.2304,-75.57595,DE4_M_10_2,62.2,DE,4,0-90,0.9,1.2,2,DE4_M_10_2,-44.37,0.06,-349.1,0.52,,
-3.2041,-75.54494,D5_M_0_1,86.4,D,5,0-90,0,0.3,1,D5_M_0_1,-43.45,0.02,-341.2,0.19,,
-3.2041,-75.54494,D5_M_3_1,110.6,D,5,0-90,0.3,0.6,1,D5_M_3_1,-44.04,0.00,-346.4,0.04,,
-3.2041,-75.54494,D5_M_6_1,100.4,D,5,0-90,0.6,0.9,1,D5_M_6_1,-45.18,0.01,-354.0,0.09,,
-3.2041,-75.54494,D5_M_10_1,92.9,D,5,0-90,0.9,1.2,1,D5_M_10_1,-45.28,0.01,-355.2,0.09,,
-3.2041,-75.54494,D5_M_0_2,88.9,D,5,0-90,0,0.3,2,D5_M_0_2,-43.46,0.06,-340.7,0.48,,
-3.2041,-75.54494,D5_M_3_2,96,D,5,0-90,0.3,0.6,2,D5_M_3_2,-43.84,0.02,-346.0,0.19,,
-3.2041,-75.54494,D5_M_6_2,113.3,D,5,0-90,0.6,0.9,2,D5_M_6_2,-44.96,0.08,-354.2,0.35,,
-3.2041,-75.54494,D5_M_10_2,84.8,D,5,0-90,0.9,1.2,2,D5_M_10_2,-45.08,0.09,-354.7,0.38,,
-3.12895,-75.5327,D6_M_0_1   ,66,D,6,0-90,0,0.3,1,D6_M_0_1   ,-42.62,0.00,-334.9,0.02,,
-3.12895,-75.5327,D6_M_3_1   ,112.4,D,6,0-90,0.3,0.6,1,D6_M_3_1   ,-43.82,0.00,-344.4,0.03,,
-3.12895,-75.5327,D6_M_6_1   ,66.5,D,6,0-90,0.6,0.9,1,D6_M_6_1   ,-44.80,0.00,-351.3,0.04,,
-3.12895,-75.5327,D6_M_10_1,93.7,D,6,0-90,0.9,1.2,1,D6_M_10_1,-45.55,0.00,-357.1,0.01,,
-3.12895,-75.5327,D6_M_0_2,104.7,D,6,0-90,0,0.3,2,D6_M_0_2N,-42.58,0.08,-335.4,0.34,,
-3.12895,-75.5327,D6_M_3_2,101.4,D,6,0-90,0.3,0.6,2,D6_M_3_2,-43.69,0.03,-344.4,0.20,,
-3.12895,-75.5327,D6_M_6_2,113.2,D,6,0-90,0.6,0.9,2,D6_M_6_2,-44.72,0.05,-351.3,0.39,,
-3.12895,-75.5327,D6_M_10_2,104.1,D,6,0-90,0.9,1.2,2,D6_M_10_2,-45.53,0.05,-357.8,0.58,,
-3.1518,-75.48292,C7_M_0_1,65.2,C,7,0-90,0,0.3,1,C7_M_0_1,-42.72,0.00,-335.4,0.04,,
-3.1518,-75.48292,C7_M_3_1,80.6,C,7,0-90,0.3,0.6,1,C7_M_3_1,-43.98,0.01,-346.1,0.01,,
-3.1518,-75.48292,C7_M_6_1,91.6,C,7,0-90,0.6,0.9,1,C7_M_6_1,-43.78,0.01,-343.4,0.05,,
-3.1518,-75.48292,C7_M_10_1,63.4,C,7,0-90,0.9,1.2,1,C7_M_10_1,-42.30,0.01,-332.5,0.06,,
-3.1518,-75.48292,C7_M_0_2,65.1,C,7,0-90,0,0.3,2,C7_M_0_2,-42.53,0.07,-334.7,0.52,,
-3.1518,-75.48292,C7_M_3_2,71.6,C,7,0-90,0.3,0.6,2,C7_M_3_2,-43.56,0.05,-345.1,0.38,,
-3.1518,-75.48292,C7_M_6_2,91.1,C,7,0-90,0.6,0.9,2,C7_M_6_2,-43.56,0.04,-342.7,0.54,,
-3.1518,-75.48292,C7_M_10_2,82.5,C,7,0-90,0.9,1.2,2,C7_M_10_2,-42.02,0.07,-332.1,0.38,,
-2.97903,-75.50816,D8_M_0_1,105.8,D,8,0-90,0,0.3,1,D8_M_0_1,-42.75,0.01,-336.1,0.03,,
-2.97903,-75.50816,D8_M_3_1,153.2,D,8,0-90,0.3,0.6,1,D8_M_3_1,-44.56,0.01,-350.4,0.04,,
-2.97903,-75.50816,D8_M_6_1,136.1,D,8,0-90,0.6,0.9,1,D8_M_6_1,-44.66,0.01,-350.3,0.06,,
-2.97903,-75.50816,D8_M_10_1,99.6,D,8,0-90,0.9,1.2,1,D8_M_10_1,-43.63,0.01,-342.8,0.04,,
-2.97903,-75.50816,D8_M_0_2,121.3,D,8,0-90,0,0.3,2,D8_M_0_2,-42.62,0.07,-336.2,0.19,,
-2.97903,-75.50816,D8_M_3_2,114.1,D,8,0-90,0.3,0.6,2,D8_M_3_2,-44.64,0.07,-351.0,0.47,,
-2.97903,-75.50816,D8_M_6_2,117.6,D,8,0-90,0.6,0.9,2,D8_M_6_2,-44.71,0.03,-350.0,0.55,,
-2.97903,-75.50816,D8_M_10_2,86,D,8,0-90,0.9,1.2,2,D8_M_10_2,-43.61,0.09,-343.1,0.32,,
-2.68073,-75.45878,D12_M_0_1,114.6,D,12,0-90,0,0.3,1,D12_M_0_1,-42.47,0.01,-333.2,0.03,,
-2.68073,-75.45878,D12_M_3_1,110.1,D,12,0-90,0.3,0.6,1,D12_M_3_1,-44.18,0.00,-346.8,0.09,,
