Site-longitude,Site-latitude,Sample name,"weight (g, with bag)",Site,Site number,Position,depth top,depth bottom,replicate,Sample name isotopes,d18O,Stdev d18O,d2H,Stdev d2H,comment,,
-3.43033,-75.5815,D2_R_6_0,56.9,D,2,60,0,0.33,,D2_R_6_0,-44.73,0.09,-352.3,0.49,,,
-3.43033,-75.5815,D2_R_6_3,41.3,D,2,60,0.33,0.67,,D2_R_6_3,-45.62,0.04,-357.5,0.60,,,
-3.43033,-75.5815,D2_R_6_6,28,D,2,60,0.67,1,,D2_R_6_6,-43.24,0.08,-340.9,0.30,,,
-3.43033,-75.5815,D2_R_7_0,50,D,2,70,0,0.33,,D2_R_7_0,-41.94,0.03,-331.5,0.40,,,
-3.43033,-75.5815,D2_R_7_3,43.6,D,2,70,0.33,0.67,,D2_R_7_3,-45.65,0.04,-359.9,0.78,,,
-3.43033,-75.5815,D2_R_7_6,33.1,D,2,70,0.67,1,,D2_R_7_6,-45.49,0.05,-360.1,0.31,,,
-3.43033,-75.5815,D2_R_8_0,59.5,D,2,80,0,0.33,,D2_R_8_0,-42.60,0.03,-334.8,0.84,,,
-3.43033,-75.5815,D2_R_8_3,35.6,D,2,80,0.33,0.67,,D2_R_8_3,-44.15,0.07,-349.2,0.30,,,
-3.43033,-75.5815,D2_R_8_6,25.5,D,2,80,0.67,1,,D2_R_8_6,-45.33,0.09,-354.8,0.26,,,
-3.43033,-75.5815,D2_R_9_0,53.8,D,2,90,0,0.33,,D2_R_9_0,-42.52,0.05,-332.3,0.55,,,
-3.43033,-75.5815,D2_R_9_3,43.6,D,2,90,0.33,0.67,,D2_R_9_3,-44.18,0.06,-344.9,0.48,,,
-3.43033,-75.5815,D2_R_9_6,34.7,D,2,90,0.67,1,,D2_R_9_6,-45.04,0.05,-352.2,0.82,,,
-3.4522,-75.53168,C3_R_0_0,,C,3,0,0,0.33,,C3_R_0_0N,-42.38,0.02,-334.2,0.11,,,
-3.4522,-75.53168,C3_R_0_3,,C,3,0,0.3,0.67,,C3_R_0_3N,-45.67,0.02,-359.3,0.10,,,
-3.4522,-75.53168,C3_R_0_6,,C,3,0,0.67,1,,C3_R_0_6,-45.09,0.01,-353.7,0.10,,,
-3.4522,-75.53168,C3_R_1_0,,C,3,10,0,0.33,,C3_R_1_0,-41.84,0.03,-329.3,0.23,,,
-3.4522,-75.53168,C3_R_1_3,,C,3,10,0.3,0.67,,C3_R_1_3,-43.17,0.01,-336.9,0.24,,,
-3.4522,-75.53168,C3_R_1_6,,C,3,10,0.67,1,,C3_R_1_6,-48.29,0.03,-377.3,0.42,,,
-3.4522,-75.53168,C3_R_2_0,,C,3,20,0,0.33,,C3_R_2_0,-47.24,0.03,-371.2,0.11,,,
-3.4522,-75.53168,C3_R_2_3,,C,3,20,0.3,0.67,,C3_R_2_3,-43.20,0.02,-339.6,0.07,,,
-3.4522,-75.53168,C3_R_2_6,,C,3,20,0.67,1,,C3_R_2_6,-48.82,0.02,-381.9,0.19,,,
-3.4522,-75.53168,C3_R_3_0,,C,3,30,0,0.33,,C3_R_3_0,-43.95,0.07,-344.5,0.51,,,
-3.4522,-75.53168,C3_R_3_3,,C,3,30,0.3,0.67,,C3_R_3_3,-44.25,0.04,-348.9,0.23,,,
-3.4522,-75.53168,C3_R_3_6,,C,3,30,0.67,1,,C3_R_3_6,-45.09,0.02,-351.9,0.11,,,
-3.4522,-75.53168,C3_R_4_0,,C,3,40,0,0.33,,C3_R_4_0,-42.25,0.04,-332.6,0.27,,,
-3.4522,-75.53168,C3_R_4_3,,C,3,40,0.3,0.67,,C3_R_4_3,-46.94,0.05,-369.9,0.41,,,
-3.4522,-75.53168,C3_R_4_6,,C,3,40,0.67,1,,C3_R_4_6,-43.95,0.03,-345.1,0.16,,,
-3.4522,-75.53168,C3_R_5_0,,C,3,50,0,0.33,,C3_R_5_0,-42.56,0.03,-334.8,0.13,,,
-3.4522,-75.53168,C3_R_5_3,,C,3,50,0.3,0.67,,C3_R_5_3,-47.41,0.08,-372.2,0.64,,,
-3.4522,-75.53168,C3_R_5_6,,C,3,50,0.67,1,,C3_R_5_6,-44.31,0.05,-347.2,0.51,,,
-3.4522,-75.53168,C3_R_6_0,,C,3,60,0,0.33,,C3_R_6_0,-42.98,0.03,-337.8,0.29,,,
-3.4522,-75.53168,C3_R_6_3,,C,3,60,0.3,0.67,,C3_R_6_3,-42.63,0.02,-335.0,0.24,,,
-3.4522,-75.53168,C3_R_6_6,,C,3,60,0.67,1,,C3_R_6_6,-45.69,0.03,-359.6,0.34,,,
-3.4522,-75.53168,C3_R_7_0,,C,3,70,0,0.33,,C3_R_7_0,-42.17,0.04,-329.7,0.32,,,
-3.4522,-75.53168,C3_R_7_3,,C,3,70,0.3,0.67,,C3_R_7_3,-43.97,0.03,-345.9,0.32,,,
-3.4522,-75.53168,C3_R_7_6,,C,3,70,0.67,1,,C3_R_7_6,-46.49,0.04,-365.7,0.31,,,
-3.4522,-75.53168,C3_R_8_0,,C,3,80,0,0.33,,C3_R_8_0,-41.94,0.04,-329.7,0.15,,,
-3.4522,-75.53168,C3_R_8_3,,C,3,80,0.3,0.67,,C3_R_8_3,-45.31,0.09,-356.5,0.76,,,
-3.4522,-75.53168,C3_R_8_6,,C,3,80,0.67,1,,C3_R_8_6,-46.77,0.07,-366.5,0.39,,,
-3.4522,-75.53168,C3_R_9_0,,C,3,90,0,0.33,,C3_R_9_0,-45.05,0.02,-352.2,0.12,,,
-3.4522,-75.53168,C3_R_9_3,,C,3,90,0.3,0.67,,C3_R_9_3,-44.28,0.04,-347.8,0.21,,,
-3.4522,-75.53168,C3_R_9_6,,C,3,90,0.67,1,,C3_R_9_6,-46.15,0.05,-361.2,0.33,,,
-3.35479,-75.56934,D3_R_0_0,65.2,D,3,0,0,0.33,,D3_R_0_0,-43.70,0.05,-344.1,0.39,,,
-3.35479,-75.56934,D3_R_0_3,47,D,3,0,0.33,0.67,,D3_R_0_3,-43.91,0.06,-343.0,0.22,,,
-3.35479,-75.56934,D3_R_0_6,30,D,3,0,0.67,1,,D3_R_0_6,-45.81,0.06,-362.4,0.31,,,
-3.35479,-75.56934,D3_R_1_0,58.7,D,3,10,0,0.33,,D3_R_1_0,-39.99,0.09,-315.1,0.37,,,
-3.35479,-75.56934,D3_R_1_3,48.3,D,3,10,0.33,0.67,,D3_R_1_3,-41.98,0.05,-329.7,0.47,,,
-3.35479,-75.56934,D3_R_1_6,39.9,D,3,10,0.67,1,,D3_R_1_6,-47.68,0.04,-372.5,0.55,,,
-3.35479,-75.56934,D3_R_2_0,60.7,D,3,20,0,0.33,,D3_R_2_0,-43.49,0.05,-340.2,0.38,,,
-3.35479,-75.56934,D3_R_2_3,44,D,3,20,0.33,0.67,,D3_R_2_3,-44.81,0.03,-353.5,0.26,,,
-3.35479,-75.56934,D3_R_2_6,35.6,D,3,20,0.67,1,,D3_R_2_6,-45.63,0.06,-358.0,0.32,,,
-3.35479,-75.56934,D3_R_3_0,57.9,D,3,30,0,0.33,,D3_R_3_0,-42.88,0.04,-337.2,0.37,,,
-3.35479,-75.56934,D3_R_3_3,48.8,D,3,30,0.33,0.67,,D3_R_3_3,-40.47,0.06,-319.7,0.36,,,
-3.35479,-75.56934,D3_R_3_6,33.8,D,3,30,0.67,1,,D3_R_3_6,-45.75,0.07,-358.0,0.13,,,
-3.35479,-75.56934,D3_R_4_0,57.1,D,3,40,0,0.33,,D3_R_4_0,-43.51,0.05,-341.6,0.16,,,
-3.35479,-75.56934,D3_R_4_3,47.5,D,3,40,0.33,0.67,,D3_R_4_3,-45.04,0.02,-356.0,0.25,,,
-3.35479,-75.56934,D3_R_4_6,37.5,D,3,40,0.67,1,,D3_R_4_6,-45.26,0.05,-356.8,0.57,,,
-3.35479,-75.56934,D3_R_5_0,64,D,3,50,0,0.33,,D3_R_5_0,-42.35,0.06,-333.5,0.22,,,
-3.35479,-75.56934,D3_R_5_3,51.6,D,3,50,0.33,0.67,,D3_R_5_3,-44.31,0.09,-348.5,0.78,,,
-3.35479,-75.56934,D3_R_5_6,27.7,D,3,50,0.67,1,,D3_R_5_6,-44.36,0.09,-349.5,0.36,,,
-3.35479,-75.56934,D3_R_6_0,61.2,D,3,60,0,0.33,,D3_R_6_0,-42.34,0.02,-333.6,0.30,,,
-3.35479,-75.56934,D3_R_6_3,45,D,3,60,0.33,0.67,,D3_R_6_3,-43.41,0.02,-343.5,0.26,,,
-3.35479,-75.56934,D3_R_6_6,30,D,3,60,0.67,1,,D3_R_6_6,-48.08,0.06,-378.3,0.46,,,
-3.35479,-75.56934,D3_R_7_0,58.7,D,3,70,0,0.33,,D3_R_7_0,-42.71,0.01,-333.5,0.40,,,
-3.35479,-75.56934,D3_R_7_3,43.2,D,3,70,0.33,0.67,,D3_R_7_3,-46.36,0.06,-362.3,0.38,,,
-3.35479,-75.56934,D3_R_7_6,38.9,D,3,70,0.67,1,,D3_R_7_6,-46.73,0.05,-366.1,0.38,,,
-3.35479,-75.56934,D3_R_8_0,54,D,3,80,0,0.33,,D3_R_8_0,-41.48,0.07,-327.3,0.30,,,
-3.35479,-75.56934,D3_R_8_3,45.1,D,3,80,0.33,0.67,,D3_R_8_3,-44.56,0.08,-348.6,0.51,,,
-3.35479,-75.56934,D3_R_8_6,33.1,D,3,80,0.67,1,,D3_R_8_6,-45.32,0.04,-353.1,0.58,,,
-3.35479,-75.56934,D3_R_9_0,57.9,D,3,90,0,0.33,,D3_R_9_0,-42.34,0.04,-331.4,0.19,,,
-3.35479,-75.56934,D3_R_9_3,50.5,D,3,90,0.33,0.67,,D3_R_9_3,-46.16,0.04,-363.3,0.56,,,
-3.35479,-75.56934,D3_R_9_6,31.3,D,3,90,0.67,1,,D3_R_9_6,-48.22,0.03,-376.6,0.31,,,
-3.3769,-75.51953,C4_R_6_0,,C,4,60,0,0.33,,C4_R_6_0N,-44.40,0.09,-347.4,0.43,,,
